City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
114,ciudad lazaro cardenas,17.9583,-102.2,22.29,90,48,1.0,MX,1715247831
115,lebu,-37.6167,-73.65,8.27,86,100,2.08,CL,1715247831
116,hermanus,-34.4187,19.2345,17.67,62,0,4.13,ZA,1715247726
117,clearwater,27.9659,-82.8001,26.72,86,100,6.17,US,1715247831
118,zelenoborskiy,66.845,32.3622,1.45,60,77,3.95,RU,1715247831
119,fort mcmurray,56.7268,-111.381,7.77,53,0,3.6,CA,1715247831
120,utrik,11.2278,169.8474,27.22,81,98,8.78,MH,1715247735
121,nagqu,31.5,92.0,7.67,32,100,2.37,CN,1715247832
122,taoudenni,22.6783,-3.9836,39.25,5,7,1.33,ML,1715247725
123,punta del este,-34.9667,-54.95,12.71,72,20,10.28,UY,1715247832
124,yuzhno-kurilsk,44.0306,145.8556,2.99,95,74,3.1,RU,1715247727
125,pasewalk,53.5063,13.99,18.39,45,56,1.22,DE,1715247832
126,rongelap,11.1635,166.8941,27.08,79,47,8.79,MH,1715247832
127,weno,7.4515,151.8468,27.97,89,100,3.09,FM,1715247727
128,anadyr,64.75,177.4833,-6.72,79,75,4.0,RU,1715247734
129,inhambane,-23.865,35.3833,25.99,69,40,0.0,MZ,1715247727
130,avarua,-21.2078,-159.775,27.03,94,75,4.12,CK,1715247738
131,saint-pierre,-21.3393,55.4781,27.82,61,0,13.89,RE,1715247713
132,galle,6.0367,80.217,28.33,77,100,2.56,LK,1715247833
133,ust-nera,64.5667,143.2,2.97,80,100,2.45,RU,1715247705
134,naliya,23.2667,68.8333,33.9,47,0,6.69,IN,1715247833
135,tazacorte,28.629,-17.9293,22.86,65,0,5.14,ES,1715247738
136,longyearbyen,78.2186,15.6401,-0.09,64,75,10.8,SJ,1715247708
137,punta arenas,-53.15,-70.9167,4.06,81,75,3.09,CL,1715247712
138,tiksi,71.6872,128.8694,-1.02,83,98,2.48,RU,1715247705
139,walvis bay,-22.9575,14.5053,17.53,77,85,1.03,NA,1715247834
140,diosig,47.3,22.0,18.2,69,92,5.6,RO,1715247834
141,jamestown,42.097,-79.2353,8.8,100,40,3.6,US,1715247706
142,akureyri,65.6835,-18.0878,6.96,45,75,6.69,IS,1715247834
143,kaka,37.3482,59.6143,15.19,80,100,2.71,TM,1715247835
144,kharp,66.8014,65.8081,-6.27,94,100,11.65,RU,1715247835
145,wotho,10.1657,166.0102,27.31,78,84,9.0,MH,1715247835
146,hawaiian paradise park,19.5933,-154.9731,21.69,95,100,3.09,US,1715247707
147,qaqortoq,60.7167,-46.0333,1.34,70,82,1.56,GL,1715247729
148,adigrat,14.277,39.462,24.77,34,31,4.11,ET,1715247835
